Вопрос,Развернутый ответ,Правильный ответ,Вариант 1,Вариант 2,Ответ в картинке
Pokojową Nagrodę Nobla otrzymał w 1983 jako lider podziemnej „Solidarności”.,"Pokojową Nagrodę Nobla Lech Wałęsa otrzymał w 1983 jako lider podziemnej „Solidarności”.
„Solidarność” – to związek robotników, który doprowadził do wolnych wyborów i demokracji w Polsce.
Lech Wałęsa pracował w porcie Gdańska jako elektryk. Wałęsa. Człowiek z nadziei – polski film biograficzny w reżyserii Andrzeja Wajdy z 2013, opowiadający o życiu Lecha Wałęsy.",Lech Wałęsa,Wojciech Jaruzelski,Gabriel Narutowicz,Lech_Wałęsa_2004_(cropped).jpg
"Otrzymała Nagrodę Nobla (2019) w dziedzinie literatury za całokształt twórczości (a mianowicie
“za wyobraźnię narracyjną”). Napisała “Bieguni”, “Księgi Jakubowe”.","Olga Tokarczuk – Otrzymała Nagrodę Nobla w dziedzinie literatury za całokształt twórczości (a mianowicie
“za wyobraźnię narracyjną”). Napisała “Bieguni”, “Księgi Jakubowe”.",Olga Tokarczuk,Wisława Szymborska,Maria Curie-Skłodowska,Olga_Tokarczuk-9739.jpg
Został papieżem w 1978 roku.,"Jan Paweł II (drugi) – Karol Józef Wojtyła – był papieżem. On jest najbardziej znanym Polakiem w świecie.
Urodził się w Wadowicach, niedaleko Krakowa. Był arcybiskupem w Krakowie i kardynałem w Watykanie.
Został papieżem w 1978 roku. Zmarł w 2005 roku. Został kanonizowany 27 kwietnia 2014 roku.",Karol Józef Wojtyła,Gabriel Narutowicz,Janusz Korczak,800px-San_Giovanni_Paolo_II.jpg
"Przewódca powstania narodowego w obronie Konstytucji w 1794 roku. Bohater
narodowy Białorusi, Polski i Stanów Zjednoczonych. Urodził się na Białorusi, na wsi obok Kosowa (brzeski
obwód).","Tadeusz Kościuszko – przewódca powstania narodowego w obronie Konstytucji w 1794 roku. Bohater
narodowy Białorusi, Polski i Stanów Zjednoczonych. Urodził się na Białorusi, na wsi obok Kosowa (brzeski
obwód).",Tadeusz Kościuszko,Wincenty Konstanty Kalinowski,Mateusz Morawiecki,Jablonski_kosciuszko.jpg
"Był marszałkiem, naczelnikiem państwa polskiego w latach 1918–1922","Józef Piłsudski był marszałkiem, naczelnikiem państwa polskiego w latach 1918–1922
oraz dwukrotnym premierem Polski (1926–1928 i 1930). Za jego pomocą Polska
odzyskała niepodległość 11 listopada 1918 roku. ",Józef Piłsudski,Gabriel Narutowicz,Stanisław Wojciechowski,Jozef_Pilsudski1.jpg
Jest obecnym prezydentem Polski.,"Karol Tadeusz Nawrocki (ur. 3 marca 1983 w Gdańsku) – polski historyk, polityk, działacz społeczny i samorządowy, doktor nauk humanistycznych. Prezydent Rzeczypospolitej Polskiej od 6 sierpnia 2025. W latach 2017–2021 dyrektor Muzeum II Wojny Światowej w Gdańsku, w latach 2021–2025 prezes Instytutu Pamięci Narodowej.",Karol Tadeusz Nawrocki,Andrzej Duda,Bronisław Komorowski,"Oficjalny_Portret_Prezydenta_Rzeczpospolitej_Polskiej,_Karola_Nawrockiego_(cropped).jpg"
"Był prezydentem dwie kadencje, podczas jego rządu Polska
wstąpiła do NATO (w 1999 roku) i Unii Europejskiej (w 2004 roku).","W latach 2017–2021 dyrektor Muzeum II Wojny Światowej w Gdańsku, w latach 2021–2025 prezes Instytutu Pamięci Narodowej.",Aleksander Kwaśniewski,Lech Kaczyński,Lech Wałęsa,Aleksander_Kwaśniewski_2012_(cropped).jpg
Jest najwybitniejszym skoczkiem narciarskim.,Adam Małysz jest najwybitniejszym skoczkiem narciarskim.,Adam Małysz,Robert Lewandowski,Tomasz Adamek,Malysz_(cropped).jpg
Jest jednym z najbardziej znanych polskich piłkarzy.,Robert Lewandowski jest jednym z najbardziej znanych polskich piłkarzy.,Robert Lewandowski ,Adam Małysz,Marcin Gortat,800px-Robert_Lewandowski_2010.jpg
"Grał w filmach «Chopin. Pragnienie miłości», «Karol. Człowiek, który
został papieżem», «Karol. Papież, który pozostał człowiekiem».","Piotr Adamczyk grał w filmach «Chopin. Pragnienie miłości», «Karol. Człowiek, który
został papieżem», «Karol. Papież, który pozostał człowiekiem».Często gra w serialach
Polskich.",Piotr Adamczyk,Jerzy Stuhr,Maciej Zakościelny,800px-Piotr_Adamczyk_during_XXXV_Polish_Film_Festival_in_Gdynia_2010_-_2.jpg
"Był znanym polskim kompozytorem i pianistą. O jego życiu został nakręcony film
«Pianista» Romana Polańskiego.","Władysław Szpilman był znanym polskim kompozytorem i pianistą. O jego życiu został nakręcony film
«Pianista» Romana Polańskiego.",Władysław Szpilman,Krzysztof Penderecki,Witold Lutosławski,Władysław_Szpilman.jpg
"Po śmierci jego serce
zostało umieszczone w kościele Świętego Krzyża w Warszawie.","Fryderyk Franciszek Chopin (fr. Frédéric Chopin), forma spolszczona: Szopen(22 lutego lub 1 marca 1810  w Żelazowej Woli, 17 października 1849 w Paryżu) – polski kompozytor i pianista. Od października 1831 roku mieszkał we Francji. Po śmierci jego serce
zostało umieszczone w kościele Świętego Krzyża w Warszawie.",Fryderyk Franciszek Chopin ,Stanisław Moniuszko,Ludwig Beethoven,Frederic_Chopin_photo.jpeg
"Był najwybitniejszym polskim poetą. Napisał ""Dziady"", ""Pan Tadeusz"", ""Grażyna"",
wiersze.","Adam Mickiewicz był najwybitniejszym polskim poetą. Napisał ""Dziady"", ""Pan Tadeusz"", ""Grażyna"",
wiersze. Urodził się na Białorusi na wsi Zaosie – niedaleko Nowogrodka.",Adam Mickiewicz,Bolesław Prus,Mikołaj Rej,Adam_Mickiewicz_by_Jan_Mieczkowski.jpg
"Nakręcił filmy ""Katyń"",
""Człowiek z marmuru"", ""Pan Tadeusz""","Andrzej Wajda jest najwybitniejszym polskim reżyserem filmowym i teatralnym. Nakręcił filmy ""Katyń"",
""Człowiek z marmuru"", ""Pan Tadeusz"", Powidoki "". W 2000 roku otrzymał Nagrodę Akademii Filmowej
(Oscara) za całokształt twórczości. Zmarł 9 października 2016 roku.",Andrzej Wajda,Roman Polański,Jerzy Hoffman,Andrzej_Wajda_OFF_Plus_Camera_2012_(cropped).jpg
"Nаkręcił film ""Pianista"".","Roman Polański to polsko-francuski reżyser, aktor, scenarzysta i producent filmowy pochodzenia
żydowskiego. Władysław Szpilman był znanym polskim kompozytorem i pianistą. O jego życiu został nakręcony film
«Pianista»",Roman Polański,Andrzej Wajda,Jerzy Hoffman,2023.11.13._Roman_Polanski_Photo_Mariusz_Kubik_01.JPG
Chrześcił Polskę w 966 roku.,"Mieszko I był pierwszym władcą Polski, nie królem! Chrześcił Polskę w 966 roku.",Mieszko I,Bolesław I Chrobry,Kazimierz III Wielki,Mieszko_I_(274939)_(cropped).jpg
